2026-03-02 18:33:26,558 | INFO | loader | 📂 Dossier scanné (récursif) : data
2026-03-02 18:33:26,629 | INFO | loader | ✅ Chargé : (20221121) - 887555076 - ATTESTATION DE REMUNERATION 2022.pdf (1 pages/sections)
2026-03-02 18:33:26,630 | INFO | loader | ✅ Chargé : acte de naissance 2.pdf (1 pages/sections)
2026-03-02 18:33:26,655 | INFO | loader | ✅ Chargé : Détails des Notes Gaya KDYEM.pdf (7 pages/sections)
2026-03-02 18:33:26,655 | ERROR | loader | ❌ Erreur sur index.html : unstructured package not found, please install it with `pip install unstructured`
2026-03-02 18:33:26,754 | INFO | loader | ✅ Chargé : (20221121) - 887555076 - GRAND LIVRE MICRO 2022.pdf (12 pages/sections)
2026-03-02 18:33:26,759 | INFO | loader | ✅ Chargé : Attestation_d'hebergement.pdf (1 pages/sections)
2026-03-02 18:33:26,770 | INFO | loader | ✅ Chargé : AVIS_APRÈS_FORMATION_B1_V__B2_V__BC_BR_-_KDYEM_Gaya.pdf (1 pages/sections)
2026-03-02 18:33:27,074 | INFO | loader | ✅ Chargé : KDYEM GAYA - NEOSPACE - Campus.pdf (18 pages/sections)
2026-03-02 18:33:27,104 | INFO | loader | ✅ Chargé : Echéancier.pdf (1 pages/sections)
2026-03-02 18:33:27,119 | INFO | loader | ✅ Chargé : CVPROV-AUTO-A568855-02-20230313-150337.PDF (1 pages/sections)
2026-03-02 18:33:27,120 | INFO | loader | ✅ Chargé : LP OCI Diploma.pdf (1 pages/sections)
2026-03-02 18:33:27,122 | INFO | loader | ✅ Chargé : TCF Gaya KDYEM.pdf (1 pages/sections)
2026-03-02 18:33:27,123 | INFO | loader | ✅ Chargé : BAC.pdf (1 pages/sections)
2026-03-02 18:33:27,145 | INFO | loader | ✅ Chargé : Attestation d’assurance pour la nouvelle période de garantie.pdf (2 pages/sections)
2026-03-02 18:33:27,146 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-02 18:33:27,146 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-02 18:33:27,157 | INFO | loader | ✅ Chargé : KBIS.pdf (1 pages/sections)
2026-03-02 18:33:27,158 | WARNING | pypdf._reader | incorrect startxref pointer(1)
2026-03-02 18:33:27,159 | WARNING | pypdf._reader | parsing for Object Streams
2026-03-02 18:33:27,258 | INFO | loader | ✅ Chargé : Kbis KDYEM.pdf (1 pages/sections)
2026-03-02 18:33:27,259 | INFO | loader | ✅ Chargé : RNBac.pdf (1 pages/sections)
2026-03-02 18:33:27,261 | INFO | loader | ✅ Chargé : BTS.pdf (1 pages/sections)
2026-03-02 18:33:27,673 | INFO | loader | ✅ Chargé : KDYEM GAYA (1).pdf (22 pages/sections)
2026-03-02 18:33:27,688 | INFO | loader | ✅ Chargé : CVFACS-AUTO-A568855-02-20230313-150255.PDF (1 pages/sections)
2026-03-02 18:33:27,688 | INFO | loader | 📊 Total documents chargés : 75
